How Can You Do It?	song	1950	date
Honey Bee	song	1950	date
Hobo Blues	song	1950	date
Hey, Bo Diddley	song	1950	date
Good Mornin' Lil' School Girl	song	1950	date
Everyday I Have The Blues (Version 1)	song	1950	date
Down At The Landing	song	1950	date
Dorothy Mae	song	1950	date
Dimples	song	1950	date
Diddley Daddy	song	1950	date
Decoration Day	song	1950	date
Dearest Darling	song	1950	date
Dark Is The Night	song	1950	date
Crawlin' Kingsnake	song	1950	date
Crawlin' Black Spider	song	1950	date
Church Bell Tone	song	1950	date
Change My Way	song	1950	date
Cadillac Daddy (Mr. Highway Man)	song	1950	date
Bring It To Jerome	song	1950	date
Baby, Boogie Chillun	song	1950	date
Bo Diddley (version 2)	song	1950	date
Bluebird Blues	song	1950	date
Baby Please Don't Go	song	1950	date
Baby, Baby Lee (Version 1)	song	1950	date
Drinkin' C.V. Wine	song	1950	date
You Shouldn't Have Left Me	song	1960	date
You Put It On Me	song	1960	date
You Done Lost Your Good Thing Now	song	1960	date
You Don't Have To Go	song	1960	date
You Can't Judge A Book By It's Cover	song	1960	date
Yonder's Wall	song	1960	date
Worried Life	song	1960	date
Woke Up This Morning (My Baby's Gone)	song	1960	date
Who's Been Talkin'	song	1960	date
What'd I Say	song	1960	date
(The) Waterfront	song	1960	date
Want Ad Blues	song	1960	date
Wang Dang Doodle	song	1960	date
Turtle Blues	song	1960	date
Tupelo	song	1960	date
Three Hundred Pounds Of Joy	song	1960	date
This Is Hip	song	1960	date
Thirteen Highway	song	1960	date
The Red Rooster	song	1960	date
The Jungle	song	1960	date
Tell Me What I've Done	song	1960	date
Tail Dragger	song	1960	date
Sweet Little Angel (Version 1)	song	1960	date
Strange Things	song	1960	date
Strange Things Happening	song	1960	date
Stop Leadin' Me On	song	1960	date
Stand By Me	song	1960	date
Spoonful	song	1960	date
Someone Somewhere	song	1960	date
Someday Baby	song	1960	date
Sneakin' Around	song	1960	date
Smokestack Lightnin'	song	1960	date
Slowly Losing My Mind	song	1960	date
Sloppy Drunk	song	1960	date
Sky Is Crying	song	1960	date
Shake For Me	song	1960	date
Send Me Your Pillow	song	1960	date
Road Runner	song	1960	date
Ramblin' On My Mind	song	1960	date
Process	song	1960	date
Please Set A Date	song	1960	date
Paying The Cost To Be The Boss	song	1960	date
Parchman Farm	song	1960	date
Ooh Baby (Hold Me)	song	1960	date
One More Mile	song	1960	date
No More Doggin'	song	1960	date
Never Trust A Woman	song	1960	date
My First Wife Left Me	song	1960	date
My Dog Can't Bark	song	1960	date
(My Country) Sugar Mama	song	1960	date
Money's Gettin' Cheaper	song	1960	date
Messin' With The Man	song	1960	date
Little Girl	song	1960	date
Little Baby	song	1960	date
Lets Get Down To Business	song	1960	date
Let's Make It	song	1960	date
Key To Love	song	1960	date
Kansas City	song	1960	date
Just A Little Love	song	1960	date
Jivin' Woman	song	1960	date
It's You I Love Baby	song	1960	date
It's My Own Fault	song	1960	date
It's A Pity	song	1960	date
It's A Mean World	song	1960	date
It Ain't Right	song	1960	date
In The Dark	song	1960	date
I Want You So Bad	song	1960	date
I've Been Treated Wrong	song	1960	date
I Put My Trust On You	song	1960	date
I Need You Baby	song	1960	date
I Need Some Money	song	1960	date
I'm Wanderin'	song	1960	date
I'mMad Again	song	1960	date
I'mLeaving Baby	song	1960	date
I'm Gonna Do What They Do To Me	song	1960	date
I'mGoing Upstairs	song	1960	date
I Know What Your Putting Down	song	1960	date
I Got My Brand On You	song	1960	date
I Done Got Wise	song	1960	date
I Asked For Water	song	1960	date
Howlin' For My Baby	song	1960	date
How Many More Years	song	1960	date
How Long Blues	song	1960	date
Help The Poor (Version 1)	song	1960	date
Have You Heard	song	1960	date
Grab Me A Freight	song	1960	date
Got My Mojo Working	song	1960	date
Got A Good Thing Goin'	song	1960	date
Gonna Keep On Loving You	song	1960	date
Going Down Slow	song	1960	date
Goin' Down Slow	song	1960	date
Get Off My Back Woman	song	1960	date
Get Myself Somebody	song	1960	date
Gambler's Blues	song	1960	date
Frisco Blues	song	1960	date
Fools Get Wise	song	1960	date
Five Long Years (Version 2)	song	1960	date
Evil	song	1960	date
Everyday I Have The Blues (Version 3)	song	1960	date
Elevate Me Mama	song	1960	date
Early In The Morning (Version 1)	song	1960	date
Driving Wheel	song	1960	date
Drinking Beer	song	1960	date
Downhearted	song	1960	date
Down In The Bottom	song	1960	date
Double Crossing Time	song	1960	date
Don't Let Go	song	1960	date
Don't Get Around Much Anymore	song	1960	date
Don't Answer The Door	song	1960	date
Democrat Man	song	1960	date
Days Of Old (Version 1)	song	1960	date
Cryin' For My Baby	song	1960	date
Confessin' The Blues	song	1960	date
Come Back Baby	song	1960	date
Cane River	song	1960	date
Callin' On My Darlin'	song	1960	date
Buzz Me (Version 1)	song	1960	date
Built For Comfort	song	1960	date
Boom Boom	song	1960	date
Bo Diddley's A Gunslinger	song	1960	date
Baby, Blues Before Sunrise (Version 2)	song	1960	date
Blues At Midnight	song	1960	date
Blindman	song	1960	date
Be Careful With A Fool	song	1960	date
All Your Love	song	1960	date
All Over Again	song	1960	date
I Know You Rider	song	1960	date
You Put It On Me	song	1960	date
You Done Lost Your Good Thing Now	song	1960	date
You Don't Have To Go	song	1960	date
You Can't Judge A Book By It's Cover	song	1960	date
Yonder's Wall	song	1960	date
Worried Life	song	1960	date
Woke Up This Morning (My Baby's Gone)	song	1960	date
Who's Been Talkin'	song	1960	date
What'd I Say	song	1960	date
(The) Waterfront	song	1960	date
Want Ad Blues	song	1960	date
Wang Dang Doodle	song	1960	date
Turtle Blues	song	1960	date
Tupelo	song	1960	date
Three Hundred Pounds Of Joy	song	1960	date
This Is Hip	song	1960	date
Thirteen Highway	song	1960	date
The Red Rooster	song	1960	date
The Jungle	song	1960	date
Tell Me What I've Done	song	1960	date
Tail Dragger	song	1960	date
Sweet Little Angel (Version 1)	song	1960	date
Strange Things	song	1960	date
Strange Things Happening	song	1960	date
Stop Leadin' Me On	song	1960	date
Stand By Me	song	1960	date
Spoonful	song	1960	date
Someone Somewhere	song	1960	date
Someday Baby	song	1960	date
Sneakin' Around	song	1960	date
Smokestack Lightnin'	song	1960	date
Slowly Losing My Mind	song	1960	date
Sloppy Drunk	song	1960	date
Sky Is Crying	song	1960	date
Shake For Me	song	1960	date
Send Me Your Pillow	song	1960	date
Road Runner	song	1960	date
Ramblin' On My Mind	song	1960	date
Process	song	1960	date
Please Set A Date	song	1960	date
Paying The Cost To Be The Boss	song	1960	date
Parchman Farm	song	1960	date
Ooh Baby (Hold Me)	song	1960	date
One More Mile	song	1960	date
No More Doggin'	song	1960	date
Never Trust A Woman	song	1960	date
My First Wife Left Me	song	1960	date
My Dog Can't Bark	song	1960	date
(My Country) Sugar Mama	song	1960	date
Money's Gettin' Cheaper	song	1960	date
Messin' With The Man	song	1960	date
Little Girl	song	1960	date
Little Baby	song	1960	date
Lets Get Down To Business	song	1960	date
Let's Make It	song	1960	date
Key To Love	song	1960	date
